"";"id";"team_h";"team_a";"result";"match_day";"scored_goals_team_h";"conceded_goals_team_h";"win_team_h";"draw_team_h";"loss_team_h";"win_rate_team_h";"win_rate_last_5_team_h";"win_rate_h_team_h";"win_rate_h_last_5_team_h";"draw_rate_team_h";"draw_rate_last_5_team_h";"draw_rate_h_team_h";"draw_rate_h_last_5_team_h";"loss_rate_team_h";"loss_rate_last_5_team_h";"loss_rate_h_team_h";"loss_rate_h_last_5_team_h";"avg_scored_goals_team_h";"avg_scored_goals_last_5_team_h";"avg_scored_goals_h_team_h";"avg_scored_goals_h_last_5_team_h";"avg_conceded_goals_team_h";"avg_conceded_goals_last_5_team_h";"avg_conceded_goals_h_team_h";"avg_conceded_goals_h_last_5_team_h";"scored_goals_team_a";"conceded_goals_team_a";"win_team_a";"draw_team_a";"loss_team_a";"win_rate_team_a";"win_rate_last_5_team_a";"win_rate_a_team_a";"win_rate_a_last_5_team_a";"draw_rate_team_a";"draw_rate_last_5_team_a";"draw_rate_a_team_a";"draw_rate_a_last_5_team_a";"loss_rate_team_a";"loss_rate_last_5_team_a";"loss_rate_a_team_a";"loss_rate_a_last_5_team_a";"avg_scored_goals_team_a";"avg_scored_goals_last_5_team_a";"avg_scored_goals_a_team_a";"avg_scored_goals_a_last_5_team_a";"avg_conceded_goals_team_a";"avg_conceded_goals_last_5_team_a";"avg_conceded_goals_a_team_a";"avg_conceded_goals_a_last_5_team_a";"max_value_player_h";"max_value_position_g_player_h";"max_value_position_d_player_h";"max_value_position_m_player_h";"max_value_position_f_player_h";"avg_goals_per_hour_5_player_h";"avg_goals_per_hour_10_player_h";"avg_assists_per_hour_5_player_h";"avg_assists_per_hour_10_player_h";"avg_goals_conceded_per_hour_5_player_h";"avg_goals_conceded_per_hour_10_player_h";"most_valuable_player_playing_player_h";"most_valuable_g_player_playing_player_h";"most_valuable_f_player_playing_player_h";"most_valuable_m_player_playing_player_h";"best_goal_scorer_playing_player_h";"best_m_goal_scorer_playing_player_h";"best_f_goal_scorer_playing_player_h";"best_assists_player_playing_player_h";"best_assists_d_player_playing_player_h";"best_assists_m_player_playing_player_h";"best_assists_f_player_playing_player_h";"max_value_player_a";"max_value_position_g_player_a";"max_value_position_d_player_a";"max_value_position_m_player_a";"max_value_position_f_player_a";"avg_goals_per_hour_5_player_a";"avg_goals_per_hour_10_player_a";"avg_assists_per_hour_5_player_a";"avg_assists_per_hour_10_player_a";"avg_goals_conceded_per_hour_5_player_a";"avg_goals_conceded_per_hour_10_player_a";"most_valuable_player_playing_player_a";"most_valuable_g_player_playing_player_a";"most_valuable_f_player_playing_player_a";"most_valuable_m_player_playing_player_a";"best_goal_scorer_playing_player_a";"best_m_goal_scorer_playing_player_a";"best_f_goal_scorer_playing_player_a";"best_assists_player_playing_player_a";"best_assists_d_player_playing_player_a";"best_assists_m_player_playing_player_a";"best_assists_f_player_playing_player_a";"season"
"11";26;17;14;"X";2020-09-27;5;2;1;0;0;0,5;0,5;0;0;0;0;0;0;0,5;0,5;1;1;2,5;2,5;0;0;1,5;1,5;1;1;0;3;0;0;1;0,5;0,5;1;1;0;0;0;0;0,5;0,5;0;0;1;1;2;2;1,5;1,5;0;0;105;55;60;89;105;0,121055651176133;0,121055651176133;0,251053474983679;0,251053474983679;1,36944422928417;1,36944422928417;1;1;1;1;1;1;1;1;0;1;1;65;50;50;60;65;0,0493197278911565;0,0493197278911565;0,452380952380952;0,452380952380952;1,10281204772495;1,10281204772495;1;1;1;1;1;1;1;1;0;1;0;"2020/2021"
"12";24;12;9;"2";2020-09-27;3;1;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;3;3;NA;NA;1;1;NA;NA;4;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;3,5;3,5;3;3;1;1;0;0;115;60;60;115;95;0,166666666666667;0,166666666666667;0,117283950617284;0,117283950617284;0,617283950617284;0,617283950617284;1;1;0;1;1;1;1;1;0;1;0;101;55;55;70;101;0,145180023228804;0,145180023228804;0,124195624195624;0,124195624195624;0,592495654799305;0,592495654799305;1;1;1;1;1;1;1;1;1;1;0;"2020/2021"
"13";28;19;20;"1";2020-09-27;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0,5;0,5;0;0;2;2;2;2;1;3;0;0;1;0,5;0,5;1;1;0;0;0;0;0,5;0,5;0;0;1,5;1,5;2;2;1,5;1,5;0;0;65;50;50;65;64;0,0238095238095238;0,0238095238095238;0,0238095238095238;0,0238095238095238;1,50723311990075;1,50723311990075;1;1;1;1;1;0;1;1;1;0;0;85;55;55;65;85;0,0714285714285714;0,0714285714285714;0,084363894811656;0,084363894811656;1,37525453640436;1,37525453640436;1;1;1;1;1;0;1;1;0;1;0;"2020/2021"
"14";22;8;2;"2";2020-09-28;3;4;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1,5;1,5;0;0;3,5;3,5;3;3;1;0;1;0;0;1;1;NA;NA;0;0;NA;NA;0;0;NA;NA;1;1;NA;NA;0;0;NA;NA;60;45;50;55;60;0,114583333333333;0,114583333333333;0,0952380952380952;0,0952380952380952;2,02874515046952;2,02874515046952;1;1;1;1;1;0;1;1;1;1;0;70;45;50;70;60;0,0555555555555556;0,0555555555555556;0,0555555555555556;0,0555555555555556;0;0;1;1;1;1;1;0;0;1;1;0;0;"2020/2021"
"15";23;11;1;"1";2020-09-28;2;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;3;3;4;4;1,5;1,5;3;3;2;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2,5;2,5;3;3;0,5;0,5;0;0;120;60;75;120;94;0,142857142857143;0,142857142857143;0,115983893557423;0,115983893557423;0,781138269625112;0,781138269625112;1;1;1;1;1;1;0;1;1;1;1;120;50;55;120;85;0,265566644697612;0,265566644697612;0,134491634491635;0,134491634491635;0,325196107150994;0,325196107150994;1;1;1;1;1;1;1;1;0;1;0;"2020/2021"
"16";31;5;6;"1";2020-10-03;3;3;0;1;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;1;1;2;2;0;0;2;2;2;2;1;2;0;0;1;0,666666666666667;0,666666666666667;1;1;0;0;0;0;0,333333333333333;0,333333333333333;0;0;1,66666666666667;1,66666666666667;3;3;1;1;1;1;95;49;60;84;95;0,103174603174603;0,103174603174603;0,111111111111111;0,111111111111111;1,30715522171218;1,30715522171218;1;0;1;1;1;1;1;1;1;1;1;71;50;45;71;59;0,0793650793650794;0,0793650793650794;0,0654761904761905;0,0654761904761905;0,641001633817726;0,641001633817726;1;1;1;1;1;1;0;1;1;1;1;"2020/2021"
"17";32;7;3;"1";2020-10-03;2;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2,66666666666667;2,66666666666667;5;5;1;1;2;2;2;3;0;0;1;0,333333333333333;0,333333333333333;1;1;0;0;0;0;0,666666666666667;0,666666666666667;0;0;2;2;3;3;2;2;0;0;80;50;61;76;80;0,14380852783742;0,14380852783742;0,113790970933828;0,113790970933828;0,555423022119982;0,555423022119982;1;1;1;1;1;1;1;1;1;1;1;65;45;50;64;65;0,102756170171901;0,102756170171901;0,191520467836257;0,191520467836257;1,36688099688627;1,36688099688627;1;1;1;1;1;1;1;1;1;1;1;"2020/2021"
"18";33;10;12;"X";2020-10-03;1;0;1;0;0;0,666666666666667;0,666666666666667;1;1;0;0;0;0;0,333333333333333;0,333333333333333;0;0;2,66666666666667;2,66666666666667;4;4;2,33333333333333;2,33333333333333;3;3;2;5;0;0;1;0,5;0,5;1;1;0;0;0;0;0,5;0,5;0;0;2,5;2,5;3;3;3;3;1;1;59;45;45;56;59;0,141345359716707;0,141345359716707;0,120772946859903;0,120772946859903;1,2800451494449;1,2800451494449;1;1;1;0;1;1;1;1;1;1;1;116;60;60;116;45;0,128205128205128;0,128205128205128;0,105413105413105;0,105413105413105;2,4508061738831;2,4508061738831;1;1;0;1;1;1;0;1;0;1;0;"2020/2021"
"19";36;14;4;"1";2020-10-03;1;1;0;1;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;1;1;1;1;0;0;1,33333333333333;1,33333333333333;3;3;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2,5;2,5;4;4;65;50;50;59;65;0,0487528344671202;0,0487528344671202;0,411477411477411;0,411477411477411;0,824172805421338;0,824172805421338;1;1;1;0;1;1;1;1;0;1;1;65;55;45;60;65;0,0606060606060606;0,0606060606060606;0,0606060606060606;0,0606060606060606;1,59090909090909;1,59090909090909;1;1;1;1;1;0;1;1;1;1;0;"2020/2021"
"20";34;9;19;"2";2020-10-04;5;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;4;4;4;4;1,33333333333333;1,33333333333333;2;2;4;0;1;0;0;0,333333333333333;0,333333333333333;0;0;0;0;0;0;0,666666666666667;0,666666666666667;1;1;1,66666666666667;1,66666666666667;1;1;1,33333333333333;1,33333333333333;2;2;100;55;56;70;100;0,231707317073171;0,231707317073171;0,182570325427468;0,182570325427468;1,26316238134649;1,26316238134649;1;1;1;1;1;1;1;1;1;1;0;64;50;50;64;64;0,762999452654625;0,762999452654625;0,0873015873015873;0,0873015873015873;0,691552750648032;0,691552750648032;0;1;1;0;1;1;1;1;1;1;0;"2020/2021"
